20 and above,Male,Yes,Yes,4,4,4,Yes
20 and above,Male,Yes,Yes,4,4,5,Yes
20 and above,Male,Yes,Yes,5,4,3,Maybe
20 and above,Male,Yes,Yes,5,5,4,Maybe
20 and above,Male,Yes,Yes,5,5,5,Maybe
20 and above,Female,No,Yes,3,4,5,Maybe
20 and above,Female,No,Maybe,5,5,5,Maybe
20 and above,Male,Yes,Yes,5,5,5,Yes
19 and below,Male,No,Yes,4,4,4,Yes
20 and above,Male,No,Maybe,4,4,4,Maybe
20 and above,Female,Yes,Maybe,4,3,4,Maybe
20 and above,Female,Yes,Yes,4,4,4,Maybe
20 and above,Male,No,Maybe,3,3,2,Maybe
20 and above,Female,Yes,Yes,5,4,4,Maybe
20 and above,Male,Yes,Maybe,3,3,3,Maybe
20 and above,Female,Yes,Yes,4,4,4,Maybe
20 and above,Male,Yes,Yes,5,5,5,Yes
20 and above,Female,Yes,Maybe,4,5,5,Maybe
20 and above,Female,No,Yes,4,4,3,No
19 and below,Male,Yes,Yes,5,5,5,Yes
19 and below,Male,Yes,Yes,5,5,5,Yes
19 and below,Female,No,Maybe,4,5,4,Maybe
19 and below,Female,Yes,No,2,2,3,No
20 and above,Female,No,Yes,4,3,4,Maybe
20 and above,Female,Yes,Maybe,5,5,5,Maybe
20 and above,Female,No,Maybe,3,3,3,Maybe
20 and above,Female,Yes,Yes,4,4,4,Yes
20 and above,Female,Yes,Yes,5,4,3,Yes
20 and above,Male,Yes,Yes,5,4,4,Yes
20 and above,Female,Yes,Yes,4,3,3,Maybe
19 and below,Female,No,Maybe,3,4,4,Maybe
19 and below,Female,Yes,No,4,4,5,No
20 and above,Female,No,Yes,3,3,4,Maybe
19 and below,Male,No,Yes,5,5,1,No
20 and above,Male,Yes,Yes,4,5,4,Yes
19 and below,Female,Yes,Maybe,4,4,4,Maybe
20 and above,Male,No,Yes,3,4,4,Maybe
20 and above,Female,Yes,Yes,4,3,2,Maybe
20 and above,Female,No,Maybe,4,3,4,Maybe
20 and above,Male,Yes,Yes,5,4,4,Maybe
20 and above,Male,Yes,Yes,4,4,4,No
20 and above,Female,No,Maybe,2,2,3,Maybe
19 and below,Male,Yes,Yes,4,5,5,Yes
19 and below,Female,Yes,Yes,5,5,5,Maybe
19 and below,Female,No,Yes,3,3,4,Yes
19 and below,Female,No,Maybe,3,3,3,Maybe
20 and above,Female,Yes,Yes,3,4,4,Maybe
19 and below,Female,No,Yes,5,3,4,Maybe
20 and above,Female,Yes,Maybe,3,3,2,Maybe
20 and above,Female,Yes,Yes,2,2,3,Yes
20 and above,Female,No,Maybe,3,3,4,No
19 and below,Female,Yes,Yes,5,4,5,Yes
20 and above,Male,Yes,Yes,5,4,5,Yes
19 and below,Female,Yes,Maybe,3,4,4,No
19 and below,Male,No,Yes,3,4,3,Maybe
19 and below,Male,No,Yes,3,3,3,Maybe
20 and above,Male,No,Yes,3,3,3,Maybe
20 and above,Male,Yes,Yes,5,3,3,Maybe
20 and above,Male,Yes,Yes,4,4,4,Maybe
20 and above,Female,No,Maybe,3,3,3,Maybe
20 and above,Female,Yes,Yes,4,4,4,Maybe
20 and above,Female,Yes,Maybe,2,4,4,No
20 and above,Male,Yes,Yes,4,4,4,Maybe
19 and below,Female,Yes,Maybe,3,4,4,Maybe
19 and below,Female,No,Yes,3,4,4,Maybe
20 and above,Female,Yes,Yes,4,3,4,Maybe
19 and below,Female,No,Yes,3,4,5,Maybe
20 and above,Female,No,Yes,4,4,4,No
19 and below,Male,Yes,No,1,2,1,No
20 and above,Female,Yes,Yes,5,5,5,Yes
20 and above,Female,Yes,Maybe,4,5,3,Maybe
20 and above,Female,Yes,Yes,5,2,5,Maybe
20 and above,Female,Yes,Yes,5,5,5,Maybe
20 and above,Female,No,No,2,1,1,No
20 and above,Female,Yes,Maybe,4,2,2,Maybe
20 and above,Female,Yes,Maybe,4,5,4,Maybe
20 and above,Female,Yes,Maybe,4,4,3,Yes
20 and above,Male,Yes,Maybe,4,5,5,Maybe
19 and below,Male,Yes,Maybe,5,5,5,Yes
20 and above,Male,Yes,Yes,5,5,5,Yes
20 and above,Female,Yes,Yes,4,4,4,Yes
20 and above,Male,Yes,Yes,5,4,4,Yes
19 and below,Male,Yes,Yes,3,4,3,No
20 and above,Male,No,Yes,4,4,4,Yes
19 and below,Female,Yes,Maybe,2,2,2,No
20 and above,Male,Yes,Yes,4,5,4,Maybe
19 and below,Male,Yes,Yes,4,4,4,Maybe
19 and below,Male,Yes,Yes,4,4,4,Maybe
19 and below,Male,Yes,Yes,5,4,5,Yes
20 and above,Male,Yes,Yes,4,4,4,Yes
20 and above,Male,Yes,Yes,5,5,5,Yes
20 and above,Male,Yes,Maybe,4,4,4,Maybe
20 and above,Female,Yes,Maybe,4,4,4,Maybe
20 and above,Male,No,No,3,4,4,No
19 and below,Male,No,No,5,4,5,No
19 and below,Female,Yes,Yes,4,4,4,Yes
20 and above,Male,Yes,Yes,5,5,5,Yes
20 and above,Male,Yes,Yes,4,4,4,Maybe
19 and below,Male,Yes,Yes,5,5,5,Yes
19 and below,Male,Yes,Yes,4,4,4,Yes
